source,target,weight,connection
31,63,-0.1128475710539452,in_rec
31,95,-0.16948423568044865,in_rec
31,67,0.22297934590532872,in_rec
31,99,0.2363233720043305,in_rec
31,71,0.21371878453445803,in_rec
31,103,-0.19997007176473008,in_rec
31,75,0.11064404105937262,in_rec
31,107,-0.0034408430073812244,in_rec
31,79,-0.028507494905729038,in_rec
31,111,0.031548674140112885,in_rec
31,83,0.1369397172449358,in_rec
31,115,-0.042341019492935596,in_rec
31,87,-0.0602387321410121,in_rec
31,119,-0.002483681571882058,in_rec
31,91,-0.15009752204540425,in_rec
32,63,0.0748718069328481,in_rec
32,95,0.03980679043014062,in_rec
32,67,0.12143982046596731,in_rec
32,99,-0.18059012299611435,in_rec
32,71,-0.3073746073977195,in_rec
32,103,-0.01099183214661136,in_rec
32,75,-0.03325059146062322,in_rec
32,107,0.11375277440318979,in_rec
32,79,0.004584222826171791,in_rec
32,111,-0.28357909724891234,in_rec
32,83,-0.003849615121089661,in_rec
32,115,0.013226810877219388,in_rec
32,87,-0.17185186032773925,in_rec
32,119,0.14921773775625316,in_rec
32,91,0.18139457014989022,in_rec
33,63,0.21873545564197783,in_rec
33,95,0.041891542536859686,in_rec
33,67,0.1884850553746783,in_rec
33,99,-0.04074337241662842,in_rec
33,71,-0.0863104748466355,in_rec
33,103,0.0031384854682637493,in_rec
33,75,0.04435109311082485,in_rec
33,107,0.13920654539389787,in_rec
33,79,0.11247818342368683,in_rec
33,111,-0.13641210015315547,in_rec
33,83,0.12945842987017045,in_rec
33,115,-0.016755047376372317,in_rec
33,87,0.0020343168243338555,in_rec
33,119,0.07791704232415353,in_rec
33,91,-0.0866558924981601,in_rec
34,63,0.07749586126898285,in_rec
34,95,-0.24620673883492622,in_rec
34,67,0.0022094651148077266,in_rec
34,99,0.20926141579116195,in_rec
34,71,0.15854959074691724,in_rec
34,103,0.2293675157410668,in_rec
34,75,0.01933010761686488,in_rec
34,107,-0.11395219402232007,in_rec
34,79,0.11226960114482747,in_rec
34,111,0.015025160844152468,in_rec
34,83,-0.11356260123549458,in_rec
34,115,-0.08795120140888855,in_rec
34,87,-0.32248702634534865,in_rec
34,119,-0.34905852466818843,in_rec
34,91,-0.09630488669062172,in_rec
35,63,-0.014352587375818522,in_rec
35,95,-0.19449986892620383,in_rec
35,67,0.01474612101626512,in_rec
35,99,-0.10081376354629185,in_rec
35,71,-0.11420404759769529,in_rec
35,103,-0.028645079921927746,in_rec
35,75,-0.03459204482799099,in_rec
35,107,-0.029901417769823545,in_rec
35,79,0.04378983309152083,in_rec
35,111,-0.06085817600187176,in_rec
35,83,0.12429892852620465,in_rec
35,115,-0.04980952199971749,in_rec
35,87,0.02785831898535246,in_rec
35,119,-0.2196305843381428,in_rec
35,91,0.11806344491482394,in_rec
36,63,-0.16629362082182458,in_rec
36,95,0.22316694655354286,in_rec
36,67,-0.09285229708928754,in_rec
36,99,-0.5149554744077938,in_rec
36,71,0.15198799714783842,in_rec
36,103,-0.13630000448112167,in_rec
36,75,0.44908467019079573,in_rec
36,107,-0.08190896599450097,in_rec
36,79,-0.16539109749453626,in_rec
36,111,0.1596330690951948,in_rec
36,83,0.019754369559042882,in_rec
36,115,-0.11148705259795756,in_rec
36,87,-0.15618022781771734,in_rec
36,119,-0.13029697304775315,in_rec
36,91,0.05174239879564744,in_rec
37,63,-0.3723362345320144,in_rec
37,95,-0.2248378459987002,in_rec
37,67,0.007358362351448672,in_rec
37,99,-0.07290886001899932,in_rec
37,71,-0.04372853994847105,in_rec
37,103,-0.015286191318316532,in_rec
37,75,0.23888005082034655,in_rec
37,107,-0.4202297461541629,in_rec
37,79,-0.3554804099610242,in_rec
37,111,-0.09984133187140018,in_rec
37,83,-0.31632797863990586,in_rec
37,115,-0.4808185725990226,in_rec
37,87,-0.06694863593673622,in_rec
37,119,0.0003278129596726646,in_rec
37,91,-0.29108201242838744,in_rec
38,63,-0.0837857511323144,in_rec
38,95,0.16748450270330162,in_rec
38,67,-0.18048573244481406,in_rec
38,99,-0.16800081043490261,in_rec
38,71,0.16903677653258614,in_rec
38,103,0.12395849057737153,in_rec
38,75,0.1097716435654975,in_rec
38,107,0.055897551664049416,in_rec
38,79,0.11188608880978652,in_rec
38,111,0.09828831723300979,in_rec
38,83,-0.2337389890316744,in_rec
38,115,-0.12212666255969121,in_rec
38,87,-0.18553198265310122,in_rec
38,119,0.03231644969235466,in_rec
38,91,-0.13129806722711873,in_rec
39,63,-0.15626808281156968,in_rec
39,95,0.08644826995918496,in_rec
39,67,0.12265490786399132,in_rec
39,99,-0.030782966538545613,in_rec
39,71,-0.06854019343703723,in_rec
39,103,-0.04544584497379422,in_rec
39,75,-0.3818385227089204,in_rec
39,107,0.1957902578853155,in_rec
39,79,-0.23637385571225702,in_rec
39,111,0.2499040928141705,in_rec
39,83,-0.181729773644403,in_rec
39,115,-0.07245933054850118,in_rec
39,87,-0.14178045762034835,in_rec
39,119,-0.3761485068821978,in_rec
39,91,0.27614617777054434,in_rec
40,63,-0.30135874955478104,in_rec
40,95,-0.010171779926615263,in_rec
40,67,-0.1430186482289255,in_rec
40,99,-0.08868020907070062,in_rec
40,71,-0.08260153994222265,in_rec
40,103,-0.25994950826001784,in_rec
40,75,-0.12265266378847454,in_rec
40,107,0.2786489768671283,in_rec
40,79,-0.19323837036182842,in_rec
40,111,-0.1350211636665451,in_rec
40,83,0.2174453168774541,in_rec
40,115,-0.029154310793358652,in_rec
40,87,0.08551503925620257,in_rec
40,119,-0.1331959894824691,in_rec
40,91,-0.11557474391231083,in_rec
41,63,-0.18858576039924424,in_rec
41,95,-0.06447215671838061,in_rec
41,67,-0.03335187757120998,in_rec
41,99,-0.21618922651600947,in_rec
41,71,0.009631265997933415,in_rec
41,103,-0.255989654497126,in_rec
41,75,-0.4492116780468805,in_rec
41,107,-0.3720215550928601,in_rec
41,79,0.11300954268371698,in_rec
41,111,0.2186968493871653,in_rec
41,83,0.18358226622174975,in_rec
41,115,-0.0971991911835541,in_rec
41,87,0.11756624689525717,in_rec
41,119,-0.07711775304550601,in_rec
41,91,-0.22953983382309093,in_rec
42,63,-0.0973214706653387,in_rec
42,95,-0.08139466433497665,in_rec
42,67,-0.1563183730036868,in_rec
42,99,-0.2640587508435403,in_rec
42,71,-0.3958894217603899,in_rec
42,103,-0.06133517195706875,in_rec
42,75,-0.2613124357354372,in_rec
42,107,-0.2790595699708116,in_rec
42,79,-0.007585544816069102,in_rec
42,111,-0.11980996313648631,in_rec
