source,target,weight,connection
31,64,-0.22944609639135774,in_rec
31,96,-0.020757271958022055,in_rec
31,68,-0.18645880872303205,in_rec
31,100,0.06495766229016116,in_rec
31,72,-0.5219173070176336,in_rec
31,104,0.20003860275539867,in_rec
31,76,-0.26149027530347313,in_rec
31,108,0.3271317618163721,in_rec
31,80,0.06455859043523779,in_rec
31,112,-0.10300293060191289,in_rec
31,84,0.03373334324279757,in_rec
31,116,-0.03001018370280235,in_rec
31,88,-0.21143387806622596,in_rec
31,120,0.12789489974427995,in_rec
31,92,-0.1330285833798032,in_rec
32,64,-0.09656852822204562,in_rec
32,96,-0.00796277546915564,in_rec
32,68,0.21890701932814496,in_rec
32,100,0.05639410744367942,in_rec
32,72,-0.23686765619468161,in_rec
32,104,0.0087784177735478,in_rec
32,76,-0.4350599268203698,in_rec
32,108,-0.19894063590832523,in_rec
32,80,0.09725065157117456,in_rec
32,112,0.006110983121627886,in_rec
32,84,0.020307516128433435,in_rec
32,116,-0.39158730553223814,in_rec
32,88,0.0158967465153902,in_rec
32,120,0.033752660029760274,in_rec
32,92,-0.03662577019140209,in_rec
33,64,0.3179875726453828,in_rec
33,96,0.006615488051324519,in_rec
33,68,0.01442865702329563,in_rec
33,100,-0.2749396617192016,in_rec
33,72,-0.20875660255159878,in_rec
33,104,-0.15581730358007143,in_rec
33,76,-0.1126934635003261,in_rec
33,108,-0.018881758750247914,in_rec
33,80,-0.031366481571551856,in_rec
33,112,0.09659263544336716,in_rec
33,84,0.06638539277137545,in_rec
33,116,-0.1718337364807002,in_rec
33,88,0.05358882293674731,in_rec
33,120,-0.054341469255214804,in_rec
33,92,-0.4744478030201386,in_rec
34,64,0.1968081710611075,in_rec
34,96,0.1711424320206405,in_rec
34,68,-0.0035286649624760445,in_rec
34,100,-0.04463884837824683,in_rec
34,72,-0.05810387953189959,in_rec
34,104,-0.08237362059329838,in_rec
34,76,-0.34661786783053766,in_rec
34,108,-0.08951496841688626,in_rec
34,80,0.14915547462313783,in_rec
34,112,-0.018918902230740026,in_rec
34,84,0.28575349453020443,in_rec
34,116,-0.3707084596347657,in_rec
34,88,-0.21360130826862542,in_rec
34,120,0.12831527356712655,in_rec
34,92,-0.3149800123248621,in_rec
35,64,-0.29055559595518005,in_rec
35,96,-0.17412627753215026,in_rec
35,68,-0.12868922790603646,in_rec
35,100,0.17613644661303088,in_rec
35,72,-0.1697207996794556,in_rec
35,104,0.060726763810285585,in_rec
35,76,-0.2378958318736268,in_rec
35,108,-0.019078557452544408,in_rec
35,80,-0.15030533275841643,in_rec
35,112,-0.05882637072036529,in_rec
35,84,-0.12249121618502089,in_rec
35,116,-0.18519435793123312,in_rec
35,88,-0.0054575809030278834,in_rec
35,120,0.056276036316073134,in_rec
35,92,0.1932451278266044,in_rec
36,64,-0.19495891894830514,in_rec
36,96,-0.0772167678518063,in_rec
36,68,-0.1728734160200404,in_rec
36,100,-0.4394408996093563,in_rec
36,72,-0.06991100818239367,in_rec
36,104,-0.04574570837396516,in_rec
36,76,0.125032457263704,in_rec
36,108,-0.08162074399065301,in_rec
36,80,-0.19782265678646907,in_rec
36,112,0.10180143065270195,in_rec
36,84,-0.20833053181381433,in_rec
36,116,-0.2316940468737751,in_rec
36,88,0.160841962850045,in_rec
36,120,-0.13032183471326395,in_rec
36,92,0.13922628929805694,in_rec
37,64,0.02895755049917562,in_rec
37,96,0.12641849022922164,in_rec
37,68,-0.5463846773423514,in_rec
37,100,0.3057152626942459,in_rec
37,72,-0.19420764624871098,in_rec
37,104,0.11593549949819863,in_rec
37,76,0.10213719079082137,in_rec
37,108,-0.20214661085720398,in_rec
37,80,0.09175693862325549,in_rec
37,112,0.33510307780753823,in_rec
37,84,-0.14751683072302663,in_rec
37,116,-0.4583868803393629,in_rec
37,88,-0.0852043131765877,in_rec
37,120,-0.4124848408631821,in_rec
37,92,0.22203989615231504,in_rec
38,64,-0.1786192815267908,in_rec
38,96,-0.11203945405022393,in_rec
38,68,0.009562111115828604,in_rec
38,100,-0.1863267945450871,in_rec
38,72,0.07613654410632953,in_rec
38,104,0.014596200300600234,in_rec
38,76,-0.07898485680994746,in_rec
38,108,0.24951143463882386,in_rec
38,80,0.27934126853029007,in_rec
38,112,-0.11519485626022462,in_rec
38,84,0.19998812547417455,in_rec
38,116,-0.24939812155820848,in_rec
38,88,0.12738730486492642,in_rec
38,120,-0.0673995960396265,in_rec
38,92,0.3085425610649886,in_rec
39,64,0.08621281932160998,in_rec
39,96,-0.14888848024754242,in_rec
39,68,0.2562346373659895,in_rec
39,100,0.11962869955231262,in_rec
39,72,-0.0064458687325779146,in_rec
39,104,0.21188540875054201,in_rec
39,76,-0.20081871328436315,in_rec
39,108,-0.1573575405374531,in_rec
39,80,-0.044988402833434804,in_rec
39,112,-0.17524551871844501,in_rec
39,84,-0.11400530223437953,in_rec
39,116,-0.21353770134801583,in_rec
39,88,-0.03893007954641548,in_rec
39,120,0.03945474474556147,in_rec
39,92,-0.05080495320557679,in_rec
40,64,0.15000789540474813,in_rec
