source,target,weight,connection
31,64,-0.23183868917606165,in_rec
31,72,-0.3857861533618792,in_rec
31,80,0.07347492659612744,in_rec
31,88,-0.19054478394235166,in_rec
31,96,0.002248730349024201,in_rec
31,104,0.250334972964471,in_rec
31,112,-0.1034866844437251,in_rec
31,120,0.14886140772529755,in_rec
31,128,0.18609869944674556,in_rec
31,136,-0.37508771048659395,in_rec
31,144,0.06282485724515569,in_rec
31,152,0.060490176860435105,in_rec
31,160,0.09708764196981129,in_rec
31,168,-0.16878208434577158,in_rec
31,176,-0.1710379116103692,in_rec
31,184,0.29733294481914524,in_rec
31,192,-0.0664981161001189,in_rec
31,200,-0.042970225486883354,in_rec
31,208,0.11539521187158247,in_rec
31,216,-0.06803711547718001,in_rec
31,224,-0.08571500819502016,in_rec
31,232,0.118456480148653,in_rec
31,240,-0.08145821476553593,in_rec
31,248,-0.015412732895036524,in_rec
31,256,-0.33743973120144993,in_rec
31,264,0.3041448579837662,in_rec
31,272,-0.2811366498981593,in_rec
31,280,0.009738370040949034,in_rec
31,288,-0.12125255640837428,in_rec
31,296,-0.2814285994347623,in_rec
31,68,-0.15679018812980258,in_rec
31,76,-0.2120776804365056,in_rec
31,84,0.06979882719221128,in_rec
31,92,-0.08535967586972433,in_rec
31,100,0.11398999173763769,in_rec
31,108,0.3129467923503161,in_rec
31,116,0.1185657464893,in_rec
31,124,-0.10374672552138842,in_rec
31,132,-0.0949060147183352,in_rec
31,140,0.040625109801487154,in_rec
31,148,0.025654129195094525,in_rec
31,156,0.02183116886844243,in_rec
31,164,0.14943075237272874,in_rec
31,172,0.01169675645256271,in_rec
31,180,0.028679179047658317,in_rec
31,188,0.032389612130662916,in_rec
31,196,-0.15203501363226532,in_rec
31,204,0.0603824715834446,in_rec
31,212,-0.47398042493824727,in_rec
31,220,-0.27637727584923044,in_rec
31,228,0.02638849277128289,in_rec
31,236,-0.05369349533925644,in_rec
31,244,0.2088725753591766,in_rec
31,252,0.04318432614013463,in_rec
31,260,0.17157884969656065,in_rec
31,268,-0.20845430854709776,in_rec
31,276,0.18762178263152082,in_rec
31,284,-0.02303573811570888,in_rec
31,292,0.005385092888182782,in_rec
31,300,0.11854959340620419,in_rec
32,64,-0.29152907158873176,in_rec
32,68,-0.12079557536561109,in_rec
32,72,-0.06419657693494385,in_rec
32,80,-0.13667600328321491,in_rec
32,88,0.012542974499307951,in_rec
32,96,-0.157119895601833,in_rec
32,104,0.11185821707367159,in_rec
32,112,-0.052551780727068544,in_rec
32,120,0.08774700566039853,in_rec
32,128,-0.2052537514362041,in_rec
32,136,0.1196349630415371,in_rec
32,144,-0.1477076499317884,in_rec
32,152,0.23195414131130773,in_rec
32,160,-0.409846692228845,in_rec
32,168,-0.04906848019335284,in_rec
32,176,-0.1259215174511237,in_rec
32,184,0.010356050407895652,in_rec
32,192,-0.12049260026914647,in_rec
32,200,0.07354791754025417,in_rec
32,208,-0.00866441543042545,in_rec
32,216,0.11213501503994272,in_rec
32,224,0.1897104158621398,in_rec
32,232,0.3311537826933819,in_rec
32,240,-0.4002525194881704,in_rec
32,248,0.0025891626606671515,in_rec
