source,target,weight,connection
31,64,-0.21462287477184264,in_rec
31,96,-0.01007525476423814,in_rec
31,68,-0.17817326153952132,in_rec
31,100,0.07549046663684524,in_rec
31,72,-0.32238728330382144,in_rec
31,104,0.18919344010742678,in_rec
31,76,-0.18084418859336232,in_rec
31,108,0.3567367639599384,in_rec
31,80,0.058516097792338094,in_rec
31,112,0.009169256749471779,in_rec
31,84,0.038211996635860605,in_rec
31,116,0.1291439880830066,in_rec
31,88,-0.21489845038432004,in_rec
31,120,0.1395200013114884,in_rec
31,92,-0.18066394751056508,in_rec
32,64,-0.07844585636634044,in_rec
32,96,-0.005436000631809031,in_rec
32,68,0.2275698824756275,in_rec
32,100,0.06788069047952708,in_rec
32,72,-0.11379407353968998,in_rec
32,104,-1.646511505505866e-05,in_rec
32,76,-0.3703233589471329,in_rec
32,108,-0.20089496577997004,in_rec
32,80,0.0909005422087163,in_rec
32,112,0.06701421531497699,in_rec
32,84,0.02278301387059852,in_rec
32,116,-0.278706919124772,in_rec
32,88,0.018454030165586555,in_rec
32,120,0.018143693259056053,in_rec
32,92,-0.0585142212125979,in_rec
33,64,0.32581246088860477,in_rec
33,96,-0.03370645197162923,in_rec
33,68,0.01766229195159958,in_rec
33,100,-0.2595416707837281,in_rec
33,72,-0.14055488154164558,in_rec
33,104,-0.1564702907634312,in_rec
33,76,-0.11068573107002316,in_rec
33,108,-0.002502963068713407,in_rec
33,80,-0.03896770165955864,in_rec
33,112,0.1450073897173108,in_rec
33,84,0.08467486178608893,in_rec
33,116,-0.09436333124367077,in_rec
33,88,0.06120416310383579,in_rec
33,120,-0.1052346551438332,in_rec
33,92,-0.5198077306646258,in_rec
34,64,0.21025715731031827,in_rec
34,96,0.1500380604445971,in_rec
34,68,-0.0006437112518709814,in_rec
34,100,-0.029832656213286294,in_rec
34,72,0.025382038139972946,in_rec
34,104,-0.08538742179817972,in_rec
34,76,-0.295842788653021,in_rec
34,108,-0.10654661108340936,in_rec
34,80,0.14231276799628348,in_rec
34,112,-0.056341399530614025,in_rec
34,84,0.2987032982212679,in_rec
34,116,-0.2321627757571159,in_rec
34,88,-0.21164956854105665,in_rec
34,120,0.10525952713016386,in_rec
34,92,-0.16900233813505836,in_rec
35,64,-0.27307539526904706,in_rec
35,96,-0.16897512066603007,in_rec
35,68,-0.12369384085274569,in_rec
35,100,0.19552187602405033,in_rec
35,72,-0.05638587571737911,in_rec
35,104,0.05571808179237575,in_rec
35,76,-0.1810632964798083,in_rec
35,108,0.014312738086357881,in_rec
35,80,-0.1584573837744797,in_rec
35,112,-0.012884987243466614,in_rec
35,84,-0.11931747191396433,in_rec
35,116,-0.04668858166495179,in_rec
35,88,-0.002057576033029376,in_rec
35,120,0.07981714142438649,in_rec
35,92,0.20953150714860663,in_rec
36,64,-0.1826739603534657,in_rec
36,96,-0.11755719328305204,in_rec
36,68,-0.16927043395294084,in_rec
36,100,-0.4364019143870753,in_rec
36,72,0.02763937649054412,in_rec
36,104,-0.046698554116606,in_rec
36,76,0.15653197425973195,in_rec
36,108,-0.0942117450883784,in_rec
36,80,-0.20596014649549066,in_rec
36,112,0.09029074447188039,in_rec
36,84,-0.2029524682729226,in_rec
36,116,-0.06521957070642946,in_rec
36,88,0.16326608607725449,in_rec
36,120,-0.13752271869760382,in_rec
36,92,0.16572692493352525,in_rec
37,64,0.03816019780102358,in_rec
37,96,0.13700064222398364,in_rec
37,68,-0.5448779221283568,in_rec
37,100,0.3226057228822622,in_rec
37,72,-0.08341209631912763,in_rec
37,104,0.11365077667060841,in_rec
37,76,0.11757055376724782,in_rec
37,108,-0.17175532056781412,in_rec
37,80,0.08322548281403647,in_rec
37,112,0.3459347980975085,in_rec
37,84,-0.13272055581459596,in_rec
37,116,-0.3066066042902308,in_rec
37,88,-0.08108082639424875,in_rec
37,120,-0.38685846336266744,in_rec
37,92,0.2544354233909806,in_rec
38,64,-0.15849412331998344,in_rec
38,96,-0.17152257717514757,in_rec
38,68,0.01976266528722727,in_rec
38,100,-0.16206279466472226,in_rec
38,72,0.1697738239954713,in_rec
38,104,0.0038406806845796004,in_rec
38,76,-0.003023440678678982,in_rec
38,108,0.2635670466946933,in_rec
38,80,0.27792839990297036,in_rec
38,112,-0.08089606590254264,in_rec
38,84,0.19100682662982418,in_rec
38,116,-0.07106766571971106,in_rec
38,88,0.12830257769651765,in_rec
38,120,-0.1467242632504584,in_rec
38,92,0.1702307712821247,in_rec
39,64,0.09826064435898023,in_rec
39,96,-0.14790622259062017,in_rec
39,68,0.26298142775513617,in_rec
39,100,0.1445169383175673,in_rec
39,72,0.08078288081520851,in_rec
39,104,0.21102196541594692,in_rec
39,76,-0.14703046222223615,in_rec
39,108,-0.1714047302575229,in_rec
39,80,-0.05120336074504204,in_rec
39,112,-0.21421692569008352,in_rec
39,84,-0.10563183946788766,in_rec
39,116,-0.08200347130875094,in_rec
39,88,-0.03526425155239875,in_rec
39,120,0.02934334725287571,in_rec
39,92,0.004461564527993,in_rec
40,64,0.1578833738112135,in_rec
40,96,0.08034909065281369,in_rec
40,68,0.1776398132418588,in_rec
40,100,0.14132385367537426,in_rec
40,72,-0.2756782808850689,in_rec
40,104,-0.11807091341224321,in_rec
40,76,0.19332776963230539,in_rec
40,108,-0.17643712956524948,in_rec
40,80,0.019590423408267655,in_rec
40,112,-0.08322074575900806,in_rec
40,84,0.047113827247743156,in_rec
40,116,0.1997819172216789,in_rec
40,88,-0.0310834361920151,in_rec
40,120,0.2003932984575547,in_rec
40,92,0.039679557391292204,in_rec
41,64,-0.11977107632440684,in_rec
41,96,0.08213335269149973,in_rec
41,68,-0.05550933233041693,in_rec
41,100,-0.1281438054841496,in_rec
41,72,0.14999210174709762,in_rec
41,104,0.046489821559498906,in_rec
41,76,-0.1617035922738164,in_rec
41,108,-0.25529396652782455,in_rec
41,80,-0.15892349968146394,in_rec
41,112,0.09435835218448295,in_rec
41,84,-0.0593626527276728,in_rec
41,116,-0.07614201104018041,in_rec
41,88,-0.07017540620115037,in_rec
41,120,-0.27348172892212386,in_rec
41,92,0.0889002264819171,in_rec
42,64,-0.20264502884297259,in_rec
42,96,-0.03491736432074153,in_rec
42,68,0.1991456574763922,in_rec
42,100,-0.1375625818688415,in_rec
42,72,-0.005607274196926782,in_rec
42,104,0.15463415776058878,in_rec
42,76,0.060159438137700305,in_rec
42,108,0.18045008723406147,in_rec
42,80,0.036683660110235494,in_rec
42,112,-0.45049569584690796,in_rec
42,84,0.4004881613883028,in_rec
42,116,0.21212006035871372,in_rec
42,88,0.06128980364263667,in_rec
42,120,-0.08074554260711737,in_rec
42,92,-0.09241102910816527,in_rec
43,64,-0.022005893131372342,in_rec
43,96,-0.13438528819907297,in_rec
43,68,-0.03794738903525675,in_rec
43,100,-0.09553922549567993,in_rec
43,72,0.1138804773730769,in_rec
43,104,0.20027283719560257,in_rec
43,76,-0.1744051631577901,in_rec
43,108,0.014737372397692987,in_rec
43,80,-0.26831472524718725,in_rec
43,112,0.1121482124775821,in_rec
43,84,-0.16359321426327877,in_rec
43,116,-0.061116321297638714,in_rec
43,88,-0.0507016060136298,in_rec
43,120,-0.3788546058902859,in_rec
43,92,-0.0499975234700196,in_rec
44,64,0.06698166548416148,in_rec
44,96,0.03521210873449164,in_rec
44,68,-0.03379672207134649,in_rec
44,100,-0.06196702039835388,in_rec
44,72,0.05332892392213096,in_rec
44,104,-0.22835898937598292,in_rec
44,76,-0.21136039474869253,in_rec
44,108,0.06472397208439423,in_rec
44,80,-0.10656731161931088,in_rec
44,112,0.08971550120338422,in_rec
44,84,-0.08070715020137575,in_rec
44,116,0.13715480921216716,in_rec
44,88,0.2818333641907022,in_rec
44,120,0.09749125372647176,in_rec
44,92,-0.2447043030450447,in_rec
45,64,-0.2905855264150815,in_rec
45,96,0.11025837228121049,in_rec
45,68,-0.22843483594218597,in_rec
45,100,0.08432433390248965,in_rec
45,72,-0.10826933029447112,in_rec
45,104,-0.0914970680702042,in_rec
45,76,0.4473550262086273,in_rec
45,108,0.25077658022704896,in_rec
45,80,-0.1109949513023472,in_rec
45,112,-0.09020960860427686,in_rec
45,84,-0.3053509029429492,in_rec
45,116,0.09050139211629865,in_rec
45,88,-0.09763869216678096,in_rec
45,120,-0.2955933169327959,in_rec
45,92,-0.341308700201193,in_rec
46,64,0.11008461703879165,in_rec
46,92,0.12079982064192682,in_rec
46,68,-0.15454160979787906,in_rec
46,96,-0.29552648841792767,in_rec
46,72,0.16108039031529325,in_rec
46,100,-0.1382751703783898,in_rec
46,76,0.1312501224774763,in_rec
46,104,0.2197525149525312,in_rec
46,80,-0.2607888073072181,in_rec
46,108,0.07020911326313489,in_rec
46,84,0.0572477001209948,in_rec
46,112,-0.004946534821857628,in_rec
46,88,-0.20700605023085905,in_rec
46,116,-0.10034702225756018,in_rec
46,120,0.15260378085391982,in_rec
47,92,-0.05677866165727741,in_rec
47,64,-0.2676267990828205,in_rec
47,96,-0.03086154624290836,in_rec
47,100,-0.0886887726543749,in_rec
47,68,-0.16199390362864247,in_rec
47,104,-0.16348374172804653,in_rec
47,72,-0.02583541723108279,in_rec
47,108,0.060160686191646176,in_rec
47,76,0.06209348410574919,in_rec
47,112,-0.296407925071434,in_rec
47,80,-0.08924251746613496,in_rec
47,116,-0.034939416864044975,in_rec
47,84,-0.06214278402044402,in_rec
47,120,-0.23974079712999383,in_rec
47,88,0.11679338166093607,in_rec
48,92,-0.10099414758519713,in_rec
48,64,-0.11358207231258317,in_rec
48,68,0.324163100469618,in_rec
48,96,0.2851098889292142,in_rec
48,72,-0.06807280746884635,in_rec
48,100,-0.02151041405848053,in_rec
48,76,0.04739834937701866,in_rec
48,104,-0.1309161797184867,in_rec
48,80,-0.021080564889178758,in_rec
48,108,-0.29271204922259997,in_rec
48,84,-0.032638934029166414,in_rec
48,112,0.05271222554818076,in_rec
48,88,0.16073469762490356,in_rec
48,116,-0.15484740035057784,in_rec
48,120,0.12154656458616032,in_rec
49,92,0.14340431100395679,in_rec
49,64,-0.014962609469718611,in_rec
49,96,0.06682289734729159,in_rec
49,68,-0.04255903146132567,in_rec
49,100,0.26740127840062583,in_rec
49,104,0.039562178541253046,in_rec
49,72,0.013833218832828396,in_rec
49,108,-0.10013673397310754,in_rec
49,76,-0.05989404014698023,in_rec
